板块类型,板块名称,板块代码,开始日期,结束日期,股票数量,股票列表
概念板块,稀土永磁,880535,2005-06-07,2025-12-03,81,"0000009,0000612,0000751,0000758,0000795,0000831,0000969,0000970,0000993,0001280,0002056,0002057,0002167,0002240,0002249,0002334,0002340,0002540,0002600,0002645,0002716,0002738,0002943,0300066,0300095,0300103,0300127,0300224,0300328,0300340,0300405,0300428,0300631,0300706,0300748,0300779,0300797,0300835,0301092,0301141,0301265,0301323,0301622,1600010,1600111,1600173,1600193,1600206,1600259,1600330,1600366,1600392,1600478,1600549,1600710,1600714,1600872,1600980,1600988,1601600,1601609,1601908,1603072,1603077,1603150,1603257,1603327,1603505,1603650,1603663,1603701,1603788,1688020,1688077,1688211,1688571,1688663,2920061,2920263,2920505,2920807"
概念板块,盐湖提锂,880727,2021-07-26,2025-12-24,45,"0000036,0000408,0000546,0000762,0000792,0000920,0002140,0002141,0002239,0002240,0002256,0002346,0002460,0002466,0002539,0002594,0002785,0002895,0300014,0300055,0300070,0300207,0300334,0300487,0300587,0300631,0300919,0301092,1600251,1600338,1600444,1600499,1600773,1601065,1601068,1601168,1603257,1603799,1603867,1603959,1603993,1688101,1688178,1688350,1688718"
概念板块,锂矿,880761,2021-12-24,2025-11-21,51,"0000155,0000408,0000546,0000688,0000762,0000792,0001203,0002074,0002176,0002183,0002192,0002213,0002239,0002240,0002346,0002460,0002466,0002497,0002539,0002594,0002667,0002738,0002756,0002785,0002895,0300014,0300207,0300267,0300390,0300409,0300432,0300518,0300587,0300619,0300919,0301092,1600338,1600367,1600499,1600773,1601065,1601168,1601969,1603077,1603399,1603679,1603799,1603993,1688101,1688148,1688350"
概念板块,水利建设,880542,2011-10-20,2025-12-24,243,"0000010,0000065,0000157,0000498,0000533,0000544,0000598,0000711,0000722,0000753,0000777,0000778,0000779,0000886,0000922,0000948,0001208,0001255,0002015,0002037,0002051,0002060,0002061,0002062,0002065,0002131,0002205,0002226,0002236,0002266,0002271,0002272,0002276,0002298,0002307,0002310,0002331,0002339,0002342,0002364,0002368,0002372,0002373,0002383,0002398,0002431,0002443,0002457,0002471,0002533,0002544,0002573,0002586,0002596,0002611,0002641,0002642,0002671,0002682,0002686,0002694,0002717,0002761,0002767,0002809,0002871,0002883,0002884,0002887,0002941,0003013,0003037,0003039,0300007,0300012,0300018,0300019,0300021,0300036,0300095,0300137,0300145,0300150,0300177,0300197,0300198,0300248,0300259,0300266,0300284,0300354,0300365,0300371,0300405,0300414,0300423,0300470,0300490,0300520,0300523,0300560,0300564,0300598,0300599,0300603,0300605,0300627,0300635,0300649,0300664,0300665,0300667,0300675,0300732,0300737,0300746,0300774,0300778,0300800,0300823,0300826,0300864,0300865,0300897,0300929,0300948,0300961,0300977,0300992,0301027,0301038,0301079,0301091,0301115,0301120,0301136,0301137,0301151,0301172,0301218,0301259,0301313,0301372,0301390,0301449,0301505,0301519,0301533,0301602,0301632,1600025,1600089,1600108,1600116,1600118,1600170,1600248,1600268,1600283,1600284,1600326,1600343,1600406,1600416,1600444,1600480,1600487,1600491,1600502,1600558,1600629,1600651,1600665,1600720,1600736,1600820,1600850,1600853,1600868,1600900,1600939,1600990,1601179,1601186,1601188,1601199,1601390,1601399,1601611,1601668,1601669,1601686,1601789,1601800,1601868,1603018,1603051,1603060,1603109,1603153,1603176,1603191,1603280,1603300,1603316,1603333,1603357,1603359,1603458,1603616,1603617,1603636,1603757,1603809,1603815,1603843,1603856,1603909,1603915,1603916,1603956,1603969,1605069,1605259,1688066,1688069,1688109,1688159,1688191,1688296,1688425,1688568,1688609,1688618,1688671,2920018,2920101,2920174,2920208,2920790,2920873,2920879,2920964"
概念板块,卫星导航,880546,2011-10-20,2026-01-13,250,"0000058,0000063,0000066,0000070,0000099,0000409,0000547,0000561,0000636,0000733,0000801,0000818,0000901,0000925,0001208,0001266,0001270,0001287,0001389,0002023,0002025,0002046,0002065,0002115,0002151,0002171,0002179,0002183,0002191,0002194,0002212,0002218,0002232,0002236,0002268,0002296,0002313,0002324,0002357,0002361,0002383,0002402,0002405,0002413,0002428,0002446,0002465,0002512,0002516,0002544,0002565,0002579,0002583,0002669,0002682,0002683,0002730,0002792,0002813,0002829,0002848,0002881,0002935,0002941,0002967,0002970,0002977,0003007,0003029,0300013,0300036,0300045,0300053,0300075,0300098,0300101,0300102,0300115,0300123,0300136,0300159,0300177,0300213,0300250,0300252,0300270,0300275,0300281,0300285,0300287,0300302,0300322,0300324,0300342,0300350,0300351,0300353,0300354,0300366,0300397,0300421,0300447,0300455,0300460,0300469,0300516,0300563,0300581,0300590,0300608,0300627,0300629,0300638,0300657,0300672,0300680,0300698,0300699,0300711,0300735,0300762,0300782,0300807,0300826,0300900,0300928,0300936,0300943,0300964,0300965,0300968,0301005,0301040,0301050,0301067,0301117,0301136,0301195,0301213,0301218,0301221,0301248,0301282,0301302,0301306,0301357,0301517,0301528,0301536,0301571,0301591,0301608,0301638,1600050,1600094,1600118,1600119,1600130,1600198,1600203,1600246,1600266,1600345,1600435,1600476,1600498,1600501,1600562,1600590,1600703,1600736,1600764,1600775,1600776,1600839,1600877,1600879,1600968,1600990,1601929,1603068,1603131,1603206,1603211,1603228,1603236,1603359,1603386,1603458,1603528,1603679,1603703,1603712,1603738,1603773,1603809,1603936,1605123,1605358,1605598,1688010,1688039,1688053,1688066,1688135,1688153,1688182,1688195,1688220,1688225,1688228,1688270,1688272,1688282,1688283,1688311,1688323,1688333,1688375,1688387,1688418,1688439,1688456,1688459,1688509,1688522,1688523,1688562,1688568,1688589,1688592,1688609,1688629,1688636,1688651,1688682,1688691,1688776,1688790,1688798,1688800,2920021,2920116,2920184,2920363,2920576,2920640,2920885,2920914,2920961"
概念板块,可燃冰,880549,2012-04-11,2025-08-21,25,"0000039,0000554,0000852,0002088,0002140,0002207,0002221,0002278,0002342,0002353,0002554,0300084,0300157,0300164,0300191,0300228,1600028,1600098,1600282,1600378,1600583,1600871,1601808,1603727,1688187"
概念板块,页岩气,880553,2012-05-18,2023-10-30,46,"0000407,0000656,0000722,0000852,0000875,0000883,0000968,0001296,0002207,0002221,0002278,0002353,0002476,0002478,0002490,0002535,0002554,0002629,0002828,0300072,0300084,0300157,0300164,0300191,0300228,0300332,0300471,0301063,0301158,1600028,1600157,1600172,1600256,1600378,1600739,1600744,1600777,1600871,1600938,1601798,1601857,1603699,1603727,1603800,1688377,2920694"
概念板块,生物疫苗,880557,2012-06-04,2025-08-04,70,"0000078,0000513,0000566,0000638,0000650,0000661,0000726,0000813,0002007,0002022,0002030,0002038,0002082,0002099,0002100,0002393,0002399,0002414,0002581,0002603,0002799,0002880,0002889,0300018,0300119,0300122,0300142,0300171,0300199,0300233,0300238,0300289,0300294,0300318,0300443,0300485,0300601,0300664,0300723,0300841,0301010,0301207,1600062,1600079,1600196,1600201,1600211,1600332,1600511,1600535,1600739,1600789,1600812,1600851,1600873,1601216,1601607,1603127,1603392,1603716,1603718,1688136,1688180,1688185,1688276,1688319,1688520,1688670,1688739,2920575"
概念板块,基因概念,880913,2014-06-25,2025-12-12,112,"0000513,0000516,0000518,0000661,0000710,0000822,0000908,0000950,0000988,0000998,0002007,0002022,0002030,0002038,0002044,0002086,0002172,0002191,0002362,0002390,0002437,0002581,0002584,0002603,0002642,0002932,0300003,0300009,0300012,0300016,0300030,0300109,0300146,0300151,0300171,0300175,0300181,0300238,0300244,0300254,0300272,0300289,0300306,0300436,0300439,0300463,0300482,0300498,0300558,0300583,0300595,0300596,0300639,0300642,0300676,0300685,0300887,0301060,0301166,0301421,1600095,1600161,1600196,1600211,1600329,1600463,1600538,1600645,1600664,1600682,1600689,1600807,1600812,1600867,1600993,1600998,1603019,1603087,1603118,1603259,1603658,1603718,1603882,1688046,1688089,1688105,1688114,1688136,1688217,1688222,1688238,1688265,1688278,1688289,1688298,1688315,1688393,1688399,1688426,1688502,1688505,1688520,1688575,1688606,1688610,1688687,1688796,2920009,2920047,2920344,2920471,2920685"
概念板块,维生素,880929,2014-12-23,2025-11-28,74,"0000078,0000153,0000525,0000597,0000639,0000756,0000788,0000915,0000952,0000953,0000972,0002001,0002019,0002102,0002317,0002332,0002365,0002393,0002437,0002556,0002562,0002626,0002653,0002737,0002742,0002907,0002940,0300146,0300158,0300233,0300254,0300267,0300381,0300401,0300434,0300583,0300765,0300791,0300856,0301126,0301130,0301211,0301258,0301281,0301507,1600079,1600129,1600195,1600216,1600298,1600299,1600351,1600420,1600518,1600566,1600572,1600613,1600664,1600812,1600851,1600873,1603067,1603079,1603102,1603235,1603676,1603811,1603896,1603968,1688089,1688399,1688639,2920230,2920367"
概念板块,仿制药,880960,2018-04-12,2025-03-03,73,"0000028,0000078,0000153,0000566,0000661,0000790,0000813,0000908,0000931,0000963,0000999,0002004,0002019,0002020,0002262,0002294,0002317,0002370,0002422,0002603,0002653,0002693,0002755,0002773,0002793,0002826,0002873,0002900,0002907,0300003,0300086,0300158,0300194,0300254,0300255,0300436,0300452,1600056,1600062,1600079,1600085,1600129,1600196,1600267,1600276,1600332,1600420,1600422,1600521,1600535,1600572,1600624,1600664,1600673,1600812,1601607,1603567,1603590,1603676,1603858,1605116,1605199,1688166,1688189,1688202,1688247,1688488,1688505,1688513,1688566,1688621,1688658,1688687"
概念板块,免疫治疗,880920,2014-07-28,2025-11-17,331,"0000078,0000513,0000534,0000538,0000566,0000597,0000623,0000650,0000661,0000705,0000739,0000756,0000766,0000788,0000790,0000813,0000908,0000915,0000919,0000931,0000950,0000963,0000989,0000999,0002004,0002007,0002019,0002020,0002038,0002082,0002099,0002198,0002250,0002252,0002262,0002275,0002287,0002294,0002317,0002332,0002349,0002370,0002393,0002398,0002399,0002412,0002422,0002424,0002437,0002550,0002581,0002589,0002603,0002653,0002675,0002737,0002755,0002773,0002793,0002821,0002864,0002873,0002880,0002898,0002900,0002907,0002923,0002940,0003020,0300003,0300006,0300009,0300012,0300016,0300026,0300039,0300086,0300109,0300122,0300142,0300147,0300149,0300158,0300181,0300194,0300199,0300204,0300233,0300238,0300254,0300255,0300347,0300357,0300363,0300404,0300412,0300434,0300436,0300485,0300497,0300534,0300558,0300573,0300575,0300584,0300601,0300639,0300642,0300683,0300685,0300705,0300723,0300725,0300759,0300765,0300858,0300871,0300878,0300957,0301015,0301075,0301093,0301096,0301103,0301111,0301126,0301130,0301201,0301230,0301257,0301263,0301277,0301305,0301331,0301333,0301393,0301408,0301520,1600056,1600062,1600079,1600080,1600129,1600196,1600211,1600216,1600222,1600223,1600252,1600267,1600276,1600285,1600332,1600351,1600380,1600420,1600422,1600436,1600479,1600488,1600503,1600513,1600521,1600535,1600557,1600566,1600572,1600594,1600645,1600664,1600668,1600682,1600721,1600771,1600774,1600789,1600812,1600851,1600867,1600881,1600976,1600993,1600998,1601089,1601607,1603086,1603087,1603127,1603207,1603222,1603229,1603259,1603351,1603367,1603368,1603392,1603439,1603456,1603567,1603590,1603669,1603707,1603716,1603858,1603980,1603998,1605116,1605199,1688062,1688068,1688076,1688091,1688098,1688117,1688131,1688136,1688163,1688166,1688176,1688177,1688180,1688181,1688189,1688192,1688197,1688198,1688202,1688221,1688222,1688235,1688247,1688266,1688278,1688289,1688302,1688317,1688319,1688321,1688331,1688336,1688356,1688363,1688373,1688382,1688428,1688443,1688488,1688505,1688506,1688513,1688520,1688550,1688553,1688566,1688578,1688621,1688658,1688687,1688710,1688759,1688765,1688799,2920017,2920047,2920344,2920367,2920478,2920566,2920735,2920982,0000504,0000516,0000566,0000597,0000963,0000989,0002004,0002592,0002605,0002675,0002873,0300006,0300009,0300030,0300109,0300147,0300149,0300171,0300181,0300199,0300204,0300238,0300244,0300272,0300314,0300358,0300363,0300404,0300511,0300558,0300683,0300813,0301047,0301080,0301103,0301130,0301166,0301201,0301257,1600196,1600276,1600521,1600568,1600645,1600682,1600721,1600851,1603028,1603127,1603222,1603716,1603882,1688137,1688166,1688238,1688266,1688331,1688621,1688658,1688710,2920344"
概念板块,CXO概念,880729,2021-07-26,2025-12-10,75,"0000504,0000739,0000790,0000813,0000935,0000953,0002086,0002250,0002399,0002581,0002675,0002693,0002821,0300012,0300149,0300199,0300244,0300261,0300347,0300363,0300404,0300412,0300434,0300497,0300683,0300702,0300705,0300725,0300759,0300887,0301021,0301047,0301060,0301096,0301201,0301211,0301230,0301257,0301277,0301333,0301363,0301393,0301509,0301520,1600196,1600222,1600721,1603127,1603229,1603259,1603456,1603538,1603669,1603739,1605116,1688046,1688073,1688076,1688105,1688117,1688131,1688137,1688185,1688202,1688222,1688238,1688247,1688293,1688553,1688602,1688621,1688710,1688796,2920017,2920478"
概念板块,节能环保,880558,2012-06-04,2025-12-30,345,"0000027,0000035,0000037,0000155,0000157,0000338,0000404,0000504,0000509,0000544,0000546,0000551,0000581,0000598,0000619,0000652,0000682,0000753,0000757,0000779,0000803,0000819,0000820,0000826,0000863,0000881,0000885,0000890,0000928,0000930,0000967,0000969,0000970,0001210,0001322,0001333,0001336,0002009,0002011,0002015,0002034,0002037,0002068,0002076,0002077,0002080,0002085,0002115,0002125,0002140,0002158,0002169,0002210,0002255,0002256,0002271,0002306,0002310,0002322,0002340,0002365,0002366,0002391,0002438,0002469,0002476,0002479,0002488,0002494,0002514,0002534,0002543,0002549,0002554,0002573,0002591,0002613,0002616,0002630,0002631,0002637,0002645,0002651,0002658,0002672,0002682,0002717,0002778,0002893,0002917,0002967,0002973,0002983,0002996,0003003,0003027,0003035,0300021,0300048,0300055,0300056,0300063,0300066,0300067,0300070,0300072,0300103,0300105,0300125,0300137,0300145,0300152,0300165,0300172,0300187,0300190,0300192,0300197,0300203,0300219,0300225,0300234,0300237,0300249,0300257,0300259,0300263,0300266,0300281,0300286,0300327,0300332,0300334,0300335,0300342,0300343,0300345,0300366,0300385,0300388,0300405,0300417,0300422,0300425,0300434,0300435,0300480,0300490,0300492,0300536,0300631,0300664,0300665,0300680,0300692,0300716,0300774,0300786,0300801,0300808,0300816,0300854,0300862,0300864,0300865,0300867,0300899,0300905,0300912,0300920,0300930,0300948,0300950,0300953,0300958,0300961,0300986,0301010,0301012,0301018,0301030,0301040,0301049,0301057,0301079,0301081,0301115,0301127,0301129,0301151,0301175,0301197,0301198,0301203,0301216,0301227,0301228,0301260,0301265,0301273,0301355,0301362,0301446,0301500,0301518,0301519,0301557,0301632,1600008,1600075,1600100,1600116,1600128,1600133,1600165,1600167,1600168,1600187,1600210,1600217,1600261,1600268,1600283,1600292,1600323,1600343,1600366,1600388,1600405,1600444,1600452,1600459,1600461,1600475,1600481,1600517,1600526,1600579,1600580,1600582,1600590,1600668,1600690,1600698,1600736,1600796,1600817,1600869,1600874,1600969,1600970,1600982,1601033,1601127,1601158,1601199,1601200,1601330,1601368,1601369,1601388,1601512,1601568,1601608,1601908,1603017,1603051,1603065,1603071,1603091,1603108,1603126,1603130,1603135,1603137,1603150,1603153,1603158,1603165,1603169,1603177,1603200,1603217,1603223,1603269,1603282,1603285,1603291,1603315,1603316,1603320,1603324,1603359,1603391,1603568,1603588,1603601,1603616,1603637,1603686,1603698,1603701,1603739,1603859,1603863,1603912,1603949,1605008,1605011,1605090,1605122,1605162,1605169,1605598,1688021,1688069,1688087,1688096,1688106,1688156,1688196,1688309,1688335,1688370,1688376,1688480,1688501,1688565,1688571,1688585,1688600,1688633,1688659,1688665,1688701,1688737,2920088,2920145,2920263,2920489,2920579,2920679,2920873,2920957,2920974"
概念板块,食品安全,880563,2012-07-05,2025-11-14,63,"0000061,0000997,0002030,0002086,0002161,0002191,0002299,0002321,0002584,0002637,0002690,0002777,0002967,0002980,0300007,0300012,0300078,0300094,0300155,0300165,0300203,0300248,0300260,0300287,0300410,0300422,0300448,0300469,0300482,0300534,0300590,0300761,0300783,0300797,0300813,0300887,0300942,0300962,0301062,0301115,0301159,0301228,0301323,0301469,0301520,1600071,1600100,1600251,1600271,1600288,1600602,1600731,1600793,1600959,1601929,1601933,1603011,1603656,1688068,1688317,1688622,2920476,2920504"
概念板块,白酒概念,880564,2012-07-05,2025-04-18,51,"0000568,0000596,0000799,0000829,0000858,0000860,0000888,0000930,0000995,0002183,0002186,0002304,0002342,0002374,0002419,0002646,0002803,0300237,0300755,1600059,1600153,1600189,1600197,1600199,1600238,1600252,1600257,1600300,1600332,1600365,1600381,1600382,1600395,1600519,1600559,1600655,1600696,1600702,1600750,1600771,1600779,1600809,1601579,1603198,1603299,1603369,1603589,1603777,1603779,1603919,2920021"
概念板块,代糖概念,880741,2021-08-24,2024-02-20,24,"0000153,0000523,0000930,0002078,0002166,0002286,0002597,0002688,0300138,0300149,0301206,1600108,1600191,1600500,1600783,1600866,1600873,1603739,1603968,1605016,1605077,1605300,1605589,1688101"
概念板块,猪肉,880936,2015-01-15,2025-10-23,33,"0000048,0000529,0000702,0000735,0000860,0000876,0000895,0001201,0002100,0002124,0002157,0002311,0002330,0002385,0002458,0002548,0002567,0002661,0002714,0002726,0002840,0002982,0300498,0300761,1600073,1600975,1603151,1603363,1603477,1603609,1603717,1605296,2920970"
概念板块,鸡肉,880764,2022-01-04,2022-09-28,22,"0000048,0000529,0000735,0000876,0002100,0002234,0002299,0002321,0002458,0002567,0002746,0002840,0002891,0002982,0300498,0300761,0300967,0301116,1603477,1603609,1603668,1605567"
概念板块,水产品,880903,2013-12-09,2025-11-19,12,"0000798,0000881,0002069,0002086,0002696,0300094,0300189,0300268,1600097,1600257,1600467,1603668"
概念板块,碳纤维,880571,2012-09-04,2026-01-13,70,"0000301,0000420,0000969,0001395,0002006,0002085,0002144,0002171,0002221,0002278,0002297,0002324,0002338,0002361,0002389,0002408,0002598,0002625,0002669,0002768,0002886,0300221,0300263,0300629,0300644,0300666,0300670,0300690,0300699,0300719,0300777,0300876,0300900,0300976,0300995,0301131,0301133,0301233,0301237,0301349,0301387,0301557,1600089,1600143,1600309,1600348,1600516,1600579,1600590,1600688,1600740,1600843,1600862,1601026,1601718,1603270,1605001,1605180,1688033,1688170,1688219,1688281,1688295,1688598,1688716,2920077,2920089,2920469,2920522,2920642"
概念板块,石墨烯,880584,2013-03-21,2025-12-24,96,"0000009,0000068,0000510,0000532,0000565,0000599,0000701,0000928,0000973,0002092,0002106,0002139,0002243,0002263,0002297,0002319,0002340,0002361,0002365,0002372,0002389,0002404,0002418,0002442,0002443,0002455,0002471,0002625,0002630,0002631,0002632,0002663,0002724,0002733,0002753,0002851,0002886,0003012,0300019,0300035,0300068,0300073,0300080,0300088,0300128,0300134,0300207,0300218,0300233,0300317,0300405,0300409,0300438,0300537,0300599,0300602,0300684,0300697,0300769,0300806,0300835,0300890,0300985,0301418,0301489,0301575,1600039,1600183,1600400,1600482,1600503,1600509,1600516,1600522,1600691,1600732,1600735,1600773,1600805,1600869,1600884,1600888,1601011,1601238,1601500,1601877,1603110,1603618,1603650,1605589,1688035,1688101,1688116,1688669,1688819,2920175"
概念板块,3D打印,880569,2012-08-31,2026-01-08,128,"0000009,0000811,0000881,0000928,0000962,0000969,0000988,0001296,0001368,0001400,0002006,0002008,0002084,0002171,0002182,0002189,0002241,0002302,0002307,0002361,0002375,0002398,0002529,0002540,0002600,0002611,0002691,0002698,0002721,0002730,0002786,0002886,0002892,0300004,0300024,0300077,0300115,0300134,0300177,0300210,0300220,0300221,0300223,0300227,0300230,0300285,0300331,0300337,0300341,0300415,0300428,0300433,0300446,0300450,0300521,0300606,0300620,0300644,0300653,0300690,0300696,0300747,0300780,0300866,0300905,0300930,0300963,0301019,0301021,0301029,0301033,0301069,0301090,0301193,0301216,0301285,0301309,0301326,0301421,0301580,1600105,1600114,1600115,1600456,1600720,1600765,1600784,1600980,1603002,1603112,1603308,1603527,1603928,1603958,1603977,1605005,1605376,1605589,1688102,1688161,1688167,1688170,1688199,1688203,1688210,1688231,1688236,1688291,1688314,1688322,1688333,1688355,1688356,1688433,1688456,1688518,1688559,1688583,1688716,1688786,2920056,2920068,2920089,2920100,2920175,2920593,2920670,2920871"
概念板块,苹果概念,880574,2012-10-10,2026-01-07,144,"0000049,0000050,0000725,0000785,0000795,0000823,0000829,0000969,0000988,0001391,0002008,0002036,0002045,0002055,0002056,0002079,0002129,0002182,0002241,0002273,0002333,0002384,0002389,0002416,0002426,0002453,0002475,0002501,0002587,0002600,0002613,0002635,0002655,0002681,0002712,0002843,0002861,0002903,0002916,0002938,0002947,0002957,0002975,0002981,0002993,0300050,0300073,0300083,0300088,0300115,0300128,0300134,0300136,0300183,0300201,0300207,0300218,0300227,0300232,0300256,0300410,0300433,0300460,0300461,0300476,0300545,0300556,0300563,0300567,0300602,0300684,0300709,0300736,0300757,0300785,0300787,0300793,0300802,0300806,0300836,0300868,0300951,0300976,0300980,0301086,0301128,0301169,0301180,0301312,0301326,0301360,0301366,0301389,0301486,0301512,0301606,0301622,0301687,1600114,1600228,1600361,1600366,1600392,1600584,1600745,1600839,1600884,1601138,1601208,1601231,1601609,1603203,1603256,1603283,1603327,1603328,1603595,1603602,1603626,1603648,1603936,1603958,1605488,1605588,1688001,1688003,1688025,1688035,1688079,1688093,1688097,1688112,1688115,1688125,1688127,1688157,1688312,1688400,1688559,1688591,1688678,1688686,1688772,2920026"
概念板块,阿里概念,880921,2014-10-16,2026-01-08,335,"0000032,0000034,0000070,0000156,0000158,0000516,0000533,0000555,0000607,0000639,0000676,0000681,0000702,0000703,0000727,0000756,0000785,0000889,0000938,0000948,0000981,0000988,0000997,0001330,0002024,0002027,0002044,0002063,0002104,0002115,0002117,0002120,0002123,0002139,0002152,0002153,0002195,0002197,0002212,0002227,0002230,0002232,0002261,0002264,0002279,0002281,0002298,0002335,0002350,0002351,0002364,0002368,0002373,0002396,0002398,0002400,0002401,0002405,0002416,0002425,0002442,0002468,0002488,0002527,0002530,0002558,0002607,0002639,0002642,0002649,0002654,0002657,0002681,0002686,0002707,0002712,0002721,0002733,0002739,0002757,0002771,0002777,0002815,0002837,0002878,0002929,0002960,0002975,0002995,0003010,0003029,0003032,0300020,0300027,0300036,0300047,0300052,0300058,0300061,0300063,0300065,0300068,0300075,0300078,0300131,0300133,0300153,0300161,0300170,0300182,0300183,0300188,0300212,0300229,0300231,0300235,0300240,0300244,0300245,0300248,0300249,0300251,0300253,0300266,0300271,0300274,0300275,0300279,0300291,0300292,0300324,0300348,0300364,0300369,0300377,0300378,0300399,0300413,0300418,0300426,0300451,0300458,0300459,0300469,0300475,0300494,0300496,0300499,0300541,0300556,0300559,0300571,0300579,0300592,0300598,0300603,0300607,0300612,0300624,0300634,0300638,0300645,0300657,0300663,0300674,0300678,0300688,0300698,0300710,0300738,0300766,0300781,0300785,0300792,0300793,0300805,0300870,0300872,0300884,0300895,0300911,0300917,0300921,0300925,0300941,0300959,0301001,0301017,0301018,0301085,0301087,0301110,0301121,0301153,0301157,0301165,0301169,0301171,0301185,0301208,0301218,0301231,0301236,0301248,0301270,0301316,0301318,0301339,0301366,0301378,0301380,0301382,0301390,0301408,0301486,0301580,1600050,1600055,1600126,1600129,1600233,1600258,1600332,1600335,1600398,1600405,1600410,1600415,1600522,1600536,1600556,1600570,1600571,1600580,1600588,1600633,1600640,1600690,1600693,1600697,1600699,1600710,1600728,1600734,1600797,1600827,1600850,1600869,1600880,1600986,1601116,1601126,1601127,1601216,1601615,1601688,1601778,1601789,1601828,1601868,1601877,1601921,1603068,1603076,1603081,1603123,1603128,1603153,1603171,1603189,1603206,1603232,1603296,1603373,1603535,1603579,1603598,1603602,1603636,1603700,1603801,1603848,1603869,1603881,1603887,1603888,1603912,1603918,1603927,1605136,1605398,1688023,1688030,1688039,1688041,1688058,1688100,1688135,1688159,1688215,1688220,1688225,1688229,1688246,1688256,1688289,1688343,1688360,1688365,1688369,1688484,1688489,1688500,1688521,1688583,1688589,1688608,1688620,1688629,1688648,1688663,1688787,2920112,2920130,2920227,2920249,2920278,2920299,2920374,2920375,2920415,2920493,2920556,2920592,2920924"
概念板块,腾讯概念,880956,2018-03-02,2025-12-18,289,"0000008,0000016,0000034,0000062,0000063,0000070,0000158,0000409,0000498,0000555,0000625,0000665,0000676,0000679,0000681,0000710,0000719,0000727,0000759,0000810,0000829,0000889,0000948,0000977,0000978,0000988,0001330,0002009,0002063,0002065,0002094,0002103,0002115,0002123,0002131,0002152,0002153,0002168,0002174,0002195,0002197,0002212,0002235,0002236,0002238,0002268,0002277,0002279,0002281,0002292,0002301,0002335,0002343,0002354,0002364,0002375,0002396,0002398,0002400,0002419,0002421,0002424,0002425,0002439,0002467,0002482,0002517,0002558,0002575,0002587,0002591,0002599,0002602,0002605,0002609,0002639,0002642,0002649,0002656,0002657,0002659,0002697,0002712,0002717,0002739,0002757,0002799,0002815,0002837,0002878,0002908,0002955,0002963,0002975,0002995,0003013,0003016,0300001,0300010,0300027,0300036,0300043,0300047,0300052,0300058,0300061,0300063,0300065,0300071,0300075,0300096,0300098,0300103,0300130,0300131,0300133,0300145,0300153,0300170,0300180,0300182,0300184,0300188,0300206,0300229,0300232,0300249,0300253,0300271,0300279,0300291,0300296,0300324,0300348,0300364,0300369,0300377,0300380,0300403,0300458,0300459,0300465,0300467,0300469,0300475,0300482,0300494,0300496,0300499,0300523,0300525,0300541,0300546,0300550,0300559,0300571,0300591,0300603,0300605,0300609,0300612,0300617,0300628,0300634,0300645,0300663,0300674,0300738,0300766,0300768,0300770,0300773,0300781,0300792,0300857,0300872,0300911,0300921,0300925,0300949,0300959,0301018,0301041,0301085,0301091,0301102,0301135,0301153,0301157,0301165,0301169,0301171,0301172,0301178,0301189,0301202,0301208,0301236,0301248,0301270,0301302,0301318,0301339,0301360,0301366,0301378,0301380,0301382,0301396,0301428,0301536,0301608,1600109,1600223,1600271,1600288,1600358,1600380,1600398,1600405,1600410,1600446,1600556,1600590,1600602,1600633,1600637,1600797,1600831,1600850,1600880,1600977,1600986,1600998,1601066,1601366,1601616,1601778,1601789,1601828,1601933,1603018,1603019,1603039,1603098,1603123,1603189,1603195,1603200,1603214,1603296,1603319,1603383,1603598,1603629,1603666,1603679,1603721,1603777,1603825,1603881,1603882,1603883,1603887,1603893,1603912,1603927,1603999,1605168,1605398,1688039,1688041,1688100,1688111,1688222,1688229,1688232,1688288,1688318,1688393,1688435,1688521,1688592,1688629,1688787,2920021,2920375,2920556,2920808"
